id_estudo,titulo,autores,ano,tipo_publicacao,veiculo,doi_identificador,url_fonte,idioma,origem_descoberta,id_busca_origem,estudo_pai_snowballing,sentinela,duplicata_de,texto_completo,status_registro,prioridade_triagem,observacoes
S-A,Systematic Method of Designing Fluidic-Pneumatic Control Circuits,R. M. H. Cheng; K. Foster,1972,artigo,Proceedings of the Institution of Mechanical Engineers,10.1177/002034837218600125,,en,protocolo_sentinela,,,sim,,,candidato,alta,Sentinela historico; verificar texto completo e significado exato de optimum.
S-B,"Fluid Power Logic Circuit Design: Analysis, Design Methods and Worked Examples",Peter Rohner,1979,livro,,,,en,protocolo_sentinela,,,sim,,,candidato,alta,Sentinela; localizar capitulo sobre Karnaugh-Veitch.
S-C,Symbolic pattern manipulation of Karnaugh-Veitch maps for pneumatic circuits,S. I. M. Siangkok; P. S. K. Chua,1996,artigo,Artificial Intelligence in Engineering,10.1016/0954-1810(95)00017-8,,en,protocolo_sentinela,,,sim,,,candidato,alta,PNEUMAES; automacao computacional.
S-D,Methodology for manipulation of Karnaugh maps designing for pneumatic sequential logic circuits,Adriano A. Santos; Antonio Ferreira da Silva,2017,artigo,International Journal of Mechatronics and Automation,10.1504/IJMA.2017.093307,,en,protocolo_sentinela,,,sim,,,candidato,alta,Metodologia moderna Karnaugh.
S-E,A Simulation Tool Using AI Technics and Karnaugh Maps for Learning and Control Digital Pneumatics,Antonio Ferreira da Silva; Adriano A. Santos,2019,conferencia,5th Experiment International Conference (exp.at'19),10.1109/EXPAT.2019.8876488,,en,protocolo_sentinela,,,sim,,,candidato,alta,ISEPCPC; Prolog/sistema especialista.
S-F,Developing Multiple-Actuator Pneumatic Circuits Using the Karnaugh Maps Designing PLC Controlled,AlZahraa N. Fawzi; Maher Y. Salloom,2023,artigo,Journal Europeen des Systemes Automatises,10.18280/jesa.560209,,en,protocolo_sentinela,,,sim,,,candidato,alta,Multiplos atuadores/sequencias.
P02A-N01,CAD for Pneumatic Circuit Design in Low Cost Automation,,1985,,IFAC Proceedings Volumes,,,en,piloto_02A,P02A-WEB-001,,nao,,,candidato,alta,Completar autoria/DOI na busca formal.
P02A-N02,Computer Aided Design for Fluidic Sequential Circuits of Fundamental Mode,Yau-Hwang Lee,1975,dissertacao,Portland State University,,,en,piloto_02A,P02A-WEB-001,,nao,,,candidato,alta,"Relevante para CAD, secondary variables e hazards."
P02A-N03,A web-based computer-aided pneumatic circuit design software,,2003,,,,,en,piloto_02A,P02A-WEB-001,,nao,,,candidato,media,Completar metadados.
P02A-N04,Evolutionary Algorithms for Programming Pneumatic Sequential Circuit Controllers,Sajaysurya Ganesh; Saravana Kumar Gurunathan,2017,artigo,Procedia Manufacturing,10.1016/j.promfg.2017.07.299,,en,piloto_02A,P02A-WEB-001,,nao,,,candidato,media,Metodo alternativo de automacao/PLC.
P02A-N05,Adaptability of Karnaugh Maps to Implement and Solve Complex Control Problems of Pneumatic and Electropneumatic Systems,,2021,,,,,en,piloto_02A,P02A-WEB-001,,nao,,,candidato,media,Completar metadados.
P02A-N06,Symbolic Manipulation for Optimization of Boolean Functions for Control of Pneumatic and Electropneumatic Circuits,,2021/2022,,,,,en,piloto_02A,P02A-WEB-001,,nao,,,candidato,media,Completar metadados; Prolog/manipulacao simbolica.
P02A-N07,"Aplicacion de los diagramas de Karnaugh-Veitch, en el diseno de circuitos neumaticos con senales blocantes",,2018,,,,,es,piloto_02A,P02A-WEB-001,,nao,,,candidato,media,Importante para literatura em espanhol.
